School Name,School Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,76,63,82.9,0,27,30.2,42.9,30.2,22.2,11.1
Abington - Abington High,00010505,124,94,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,04120530,42,39,92.9,0,56.4,20.5,23.1,20.5,20.5,2.6
Acton-Boxborough - Acton-Boxborough Regional High,06000505,472,420,89,0.2,52.1,6.4,41.2,6,3.1,13.8
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,79,65,82.3,0,26.2,43.1,30.8,41.5,20,4.6
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,128,115,89.8,0,53.9,7,39.1,7,7.8,13
Agawam - Agawam High,00050505,288,235,81.6,0,34.5,34,31.5,33.2,15.7,8.5
Amesbury - Amesbury High,00070505,124,90,72.6,0,24.4,35.6,40,35.6,6.7,15.6
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,13,,,,,,,,,
Amherst-Pelham - Amherst Regional High,06050505,246,206,83.7,0.5,46.6,27.7,25.2,26.7,2.4,14.6
Andover - Andover High,00090505,413,369,89.3,0,56.4,7.6,36,7.3,3.5,13.8
Arlington - Arlington High,00100505,306,260,85,0,53.5,9.6,36.9,8.5,4.6,19.6
Ashburnham-Westminster - Oakmont Regional High School,06100505,164,144,87.8,0,26.4,18.1,55.6,18.1,32.6,13.9
Ashland - Ashland High,00140505,162,142,87.7,0,34.5,9.9,55.6,9.9,17.6,17.6
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,237,122,51.5,0.8,31.1,40.2,27.9,36.9,19.7,1.6
Athol-Royalston - Athol High,06150505,71,42,59.2,0,28.6,35.7,35.7,31,21.4,7.1
Attleboro - Attleboro Community Academy,00160515,32,7,21.9,0,0,100,0,100,0,0
Attleboro - Attleboro High,00160505,358,266,74.3,0,35.3,31.6,33.1,29.3,14.7,11.3
Auburn - Auburn Senior High,00170505,158,125,79.1,0,33.6,18.4,48,17.6,24.8,14.4
Avon - Avon Middle High School,00180510,41,36,87.8,0,19.4,30.6,50,30.6,22.2,27.8
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,58,39,67.2,0,12.8,48.7,38.5,48.7,17.9,17.9
Barnstable - Barnstable High,00200505,339,256,75.5,0,31.3,34.8,34,34.4,10.2,12.5
Bedford - Bedford High,00230505,224,205,91.5,0,42.4,17.6,40,15.1,6.3,13.2
Belchertown - Belchertown High,00240505,169,152,89.9,0,42.8,23.7,33.6,23,9.9,11.8
Bellingham - Bellingham High School,00250505,174,122,70.1,0,29.5,18,52.5,13.1,29.5,15.6
Bellingham - Primavera Junior/Senior High School,00250510,5,,,,,,,,,
Belmont - Belmont High,00260505,275,237,86.2,0,66.7,4.6,28.7,3.8,3.4,12.2
Berkshire Arts and Technology Charter Public - Berkshire Arts and Technology Charter Public School,04140305,19,14,73.7,0,7.1,64.3,28.6,64.3,14.3,0
Berkshire Hills - Monument Mt Regional High,06180505,127,104,81.9,0,49,22.1,28.8,20.2,10.6,7.7
Berlin-Boylston - Tahanto Regional High,06200505,58,48,82.8,0,31.3,6.3,62.5,6.3,25,8.3
Beverly - Beverly High,00300505,316,242,76.6,0.4,28.9,25.2,45.5,24,16.1,12.4
Billerica - Billerica Memorial High School,00310505,334,255,76.3,0,26.3,22.4,51.4,22.4,13.7,22.4
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,280,222,79.3,0,37.8,16.7,45.5,15.3,25.2,12.2
Blackstone-Millville - Blackstone Millville RHS,06220505,90,56,62.2,0,21.4,21.4,57.1,5.4,21.4,25
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,184,117,63.6,0,40.2,36.8,23.1,36.8,12.8,5.1
Boston - Another Course To College,00350541,43,35,81.4,0,42.9,25.7,31.4,25.7,11.4,17.1
Boston - Boston Adult Academy,00350548,89,29,32.6,6.9,20.7,62.1,10.3,62.1,0,6.9
Boston - Boston Arts Academy,00350546,81,63,77.8,1.6,46,19,33.3,19,12.7,9.5
Boston - Boston Community Leadership Academy,00350558,109,89,81.7,0,36,37.1,27,36,12.4,13.5
Boston - Boston International  High School,00350507,53,40,75.5,0,42.5,17.5,40,17.5,17.5,22.5
