Org Name,OrgCode,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,87,97.7,1.1,0,0,0,1.1
Abington - Abington High,00010505,111,83.8,5.4,0,2.7,8.1,0
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,34,85.3,11.8,0,0,2.9,0
Acton-Boxborough - Acton-Boxborough Regional High,06000505,514,98.1,1.4,0,0,0.6,0
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,97,83.5,8.2,0,1,7.2,0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,101,99,1,0,0,0,0
Agawam - Agawam High,00050505,309,90.6,1.6,1,1,5.8,0
Amesbury - Amesbury High,00070505,158,90.5,3.2,0,1.9,4.4,0
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,6,50,33.3,0,0,16.7,0
Amherst-Pelham - Amherst Regional High,06050505,254,90.2,3.9,0,3.1,2.8,0
Andover - Andover High,00090505,439,95.7,2.5,0.5,0.7,0.7,0
Arlington - Arlington High,00100505,297,94.6,0.3,1,0.7,3.4,0
Ashburnham-Westminster - Oakmont Regional High School,06100505,148,95.3,2.7,0,1.4,0.7,0
Ashland - Ashland High,00140505,191,96.9,0.5,0,0,2.6,0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,235,93.6,1.7,0,0.4,4.3,0
Athol-Royalston - Athol High,06150505,92,70.7,15.2,1.1,2.2,10.9,0
Attleboro - Attleboro High,00160505,413,89.1,4.1,0.2,1,5.6,0
Auburn - Auburn Senior High,00170505,175,90.9,2.9,0,1.7,4,0.6
Avon - Avon Middle High School,00180510,55,85.5,7.3,0,0,7.3,0
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,69,91.3,1.4,1.4,1.4,4.3,0
Barnstable - Barnstable High,00200505,398,86.2,5.8,0.3,1.3,6.5,0
Bedford - Bedford High,00230505,192,98.4,0.5,0,0.5,0.5,0
Belchertown - Belchertown High,00240505,200,96,0,0.5,1.5,2,0
