School Name,Org Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,137,135,98.5,8.9,87.4,3,0.7
Abington - Abington High,10505,51,50,98,30,64,6,0
Abington - Beaver Brook Elementary School,10003,42,41,97.6,7.3,87.8,2.4,2.4
Abington - Center Elementary School,10002,12,12,100,16.7,83.3,0,0
Abington - Frolio Middle School,10405,29,28,96.6,7.1,89.3,3.6,0
Abington - Woodsdale Elementary School,10015,19,19,100,15.8,73.7,10.5,0
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,4120530,53,52,98.1,28.8,53.8,17.3,0
Acton-Boxborough - Acton-Boxborough Regional High,6000505,160,155,96.9,11,86.5,2.6,0
Acton-Boxborough - Blanchard Memorial School,6000005,39,39,100,-,-,-,-
Acton-Boxborough - C.T. Douglas Elementary School,6000020,38,35,92.1,11.4,88.6,0,0
Acton-Boxborough - Luther Conant School,6000030,36,35,97.2,5.7,94.3,0,0
Acton-Boxborough - McCarthy-Towne School,6000015,37,34,91.9,8.8,88.2,2.9,0
Acton-Boxborough - Merriam School,6000010,46,44,95.7,6.8,93.2,0,0
Acton-Boxborough - Paul P Gates Elementary School,6000025,36,34,94.4,-,-,-,-
Acton-Boxborough - Raymond J Grey Junior High,6000405,78,73,93.6,8.2,91.8,0,0
Acushnet - Acushnet Elementary School,30025,46,45,97.8,-,-,-,-
Acushnet - Albert F Ford Middle School,30305,37,36,97.3,2.8,58.3,36.1,2.8
Adams-Cheshire - Cheshire Elementary,6030004,20,19,95,-,-,-,-
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,65,64,98.5,-,-,-,-
Adams-Cheshire - Plunkett Elementary,6030020,34,34,100,-,-,-,-
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,NA,NA,NA,NA,NA,NA,NA
Agawam - Agawam Early Childhood Center,50003,12,11,91.7,-,-,-,-
Agawam - Agawam High,50505,115,113,98.3,2.7,97.3,0,0
Agawam - Agawam Junior High,50405,74,73,98.6,39.7,60.3,0,0
Agawam - Benjamin J Phelps,50020,38,37,97.4,2.7,97.3,0,0
Agawam - Clifford M Granger,50010,29,28,96.6,10.7,89.3,0,0
Agawam - James Clark School,50030,37,36,97.3,5.6,94.4,0,0
Agawam - Roberta G. Doering School,50303,58,57,98.3,-,-,-,-
Agawam - Robinson Park,50025,40,39,97.5,20.5,79.5,0,0
Alma del Mar Charter School - Alma del Mar Charter School,4090205,NA,NA,NA,NA,NA,NA,NA
Amesbury - Amesbury Elementary,70005,36,34,94.4,2.9,94.1,0,2.9
Amesbury - Amesbury High,70505,55,53,96.4,1.9,94.3,3.8,0
Amesbury - Amesbury Middle,70013,62,61,98.4,1.6,96.7,1.6,0
Amesbury - Charles C Cashman Elementary,70010,40,38,95,13.2,86.8,0,0
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,10,8,80,12.5,87.5,0,0
Amherst - Crocker Farm Elementary,80009,50,48,96,10.4,89.6,0,0
Amherst - Fort River Elementary,80020,50,48,96,16.7,83.3,0,0
Amherst - Wildwood Elementary,80050,53,50,94.3,10,90,0,0
Amherst-Pelham - Amherst Regional High,6050505,106,105,99.1,19,77.1,3.8,0
Amherst-Pelham - Amherst Regional Middle School,6050405,65,64,98.5,7.8,84.4,6.3,1.6
Andover - Andover High,90505,153,68,44.4,10.3,85.3,4.4,0
Andover - Andover West Middle,90310,54,27,50,11.1,85.2,3.7,0
Andover - Bancroft Elementary,90003,45,34,75.6,-,-,-,-
Andover - Doherty Middle,90305,60,44,73.3,20.5,72.7,6.8,0
Andover - Henry C Sanborn Elementary,90010,38,25,65.8,16,84,0,0
Andover - High Plain Elementary,90004,56,9,16.1,22.2,77.8,0,0
Andover - Shawsheen School,90005,28,19,67.9,47.4,52.6,0,0
Andover - South Elementary,90020,44,37,84.1,2.7,97.3,0,0
Andover - West Elementary,90025,66,36,54.5,5.6,94.4,0,0
Andover - Wood Hill Middle School,90350,52,27,51.9,7.4,92.6,0,0
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,NA,NA,NA,NA,NA,NA,NA
Arlington - Arlington High,100505,124,124,100,-,-,-,-
Arlington - Brackett,100010,39,39,100,-,-,-,-
Arlington - Cyrus E Dallin,100025,41,41,100,-,-,-,-
