SCHOOL,Org Code,Total_Num_Classes,Average_Class_Size,Num_Students,Female_Percent,Male_Percent,Limited_English_Proficient_Percent,Special_Education_Percent,Economically_Disadvantaged_Percent
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,755,19.1,"1,445",52.6,47.4,7.3,10.6,31.6
Abington - Abington High,00010505,246,16.2,477,52.6,47.4,1.5,11.5,18.4
Abington - Beaver Brook Elementary School,00010003,311,25.4,636,47.6,52.4,3,12.4,22.2
Abington - Center Elementary School,00010002,141,17.4,232,43.5,56.5,3,19,19.8
Abington - Frolio Middle School,00010405,193,20.2,308,50,50,1.3,10.1,16.2
Abington - Woodsdale Elementary School,00010015,121,30.1,332,46.1,53.9,1.2,11.4,19
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,04120530,122,23.2,516,55,45,0.2,25.8,27.1
Acton-Boxborough - Acton-Boxborough Regional High,06000505,717,19.6,"1,902",49.6,50.4,0.9,12.8,4.5
Acton-Boxborough - Blanchard Memorial School,06000005,143,20.5,431,43.9,56.1,2.1,19.5,8.1
Acton-Boxborough - C.T. Douglas Elementary School,06000020,149,22.7,478,44.4,55.6,5.9,16.5,4.4
Acton-Boxborough - Luther Conant School,06000030,142,23.1,463,51.4,48.6,8,16,4.3
Acton-Boxborough - McCarthy-Towne School,06000015,149,22.5,473,50.3,49.7,8.5,16.5,6.8
Acton-Boxborough - Merriam School,06000010,171,22,606,46.5,53.5,5,22.6,4.5
Acton-Boxborough - Paul P Gates Elementary School,06000025,135,22.3,425,46.6,53.4,5.6,20.7,6.4
Acton-Boxborough - Raymond J Grey Junior High,06000405,545,23,915,46.9,53.1,1.4,14.5,4.5
Acushnet - Acushnet Elementary School,00030025,243,19.8,563,46.5,53.5,0.2,17.4,21.8
Acushnet - Albert F Ford Middle School,00030305,294,16.6,416,51.2,48.8,1.2,17.3,15.6
Adams-Cheshire - Cheshire Elementary,06030004,128,15.1,241,51.5,48.5,0,21.2,30.3
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,433,14.1,665,50.2,49.8,0.3,23.3,32.6
Adams-Cheshire - Plunkett Elementary,06030020,206,18.3,483,45.8,54.2,0.4,24.2,51.3
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,468,19.9,996,48,52,0.1,3.9,6.3
