SCHOOL,ORG_CODE,African_American,Asian,Hispanic,White,Native_American,Native_Hawaiian_Pacific_Islander,Multi-Race_Non-Hispanic,Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,42.6,4.2,24.5,25,0.1,0.1,3.4,47.4,52.6
Abington - Abington High,10505,2.3,0.8,7.3,88.5,0,0,1,47.2,52.8
Abington - Beaver Brook Elementary School,10003,1.6,1.6,2.7,93.5,0.5,0,0,51.8,48.2
Abington - Center Elementary School,10002,1.3,2.7,1.8,93.3,0.9,0,0,57.1,42.9
Abington - Frolio Middle School,10405,2.6,2,3.6,90.8,0,0.3,0.7,49.5,50.5
Abington - Woodsdale Elementary School,10015,2.4,1.5,3.6,92.1,0.3,0,0,53.9,46.1
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,4120530,59,1,21,15.8,0,0,3.3,45.5,54.5
Acton-Boxborough - Acton-Boxborough Regional High,6000505,1.1,24.1,3.3,68.4,0.3,0,2.8,50.3,49.7
Acton-Boxborough - Blanchard Memorial School,6000005,1.9,33.6,3.6,56.8,0.5,0,3.6,56.8,43.2
Acton-Boxborough - C.T. Douglas Elementary School,6000020,1,23.3,2.1,65.6,0.2,0,7.7,56.3,43.8
Acton-Boxborough - Luther Conant School,6000030,2,59.5,2.2,33.3,0,0,3.1,47.9,52.1
Acton-Boxborough - McCarthy-Towne School,6000015,2.1,13.9,6.9,70.9,0.2,0,6,48.8,51.2
Acton-Boxborough - Merriam School,6000010,1.3,24.4,3.8,66.9,0,0.2,3.3,53.2,46.8
Acton-Boxborough - Paul P Gates Elementary School,6000025,2.3,42.8,1.4,50.7,0.5,0,2.3,53.7,46.3
Acton-Boxborough - Raymond J Grey Junior High,6000405,1.2,31.8,2.9,60.2,0.2,0,3.7,52.9,47.1
Acushnet - Acushnet Elementary School,30025,0.2,0,1.4,98,0,0,0.4,53.7,46.3
Acushnet - Albert F Ford Middle School,30305,0.5,0.7,1,97.9,0,0,0,48.8,51.2
Adams-Cheshire - Cheshire Elementary,6030004,3.1,0.4,0.9,95.1,0,0,0.4,48,52
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,4.4,1.1,1.4,92.1,0.9,0,0.2,48.9,51.1
Adams-Cheshire - Plunkett Elementary,6030020,3.9,0.2,2.4,92.3,0.2,0.6,0.4,56.1,43.9
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,2.9,25.1,5.3,62.5,0.6,0.1,3.5,52.1,47.9
Agawam - Agawam Early Childhood Center,50003,1.2,1.2,4.2,93.3,0,0,0,63.6,36.4
Agawam - Agawam High,50505,1.7,2.3,4.7,89,0.3,0.3,1.6,52.1,47.9
Agawam - Agawam Junior High,50405,1.3,1.8,5.3,90.1,0,0,1.5,50.9,49.1
Agawam - Benjamin J Phelps,50020,2,3.9,4.9,86.7,0,0,2.5,50.7,49.3
Agawam - Clifford M Granger,50010,1,2.3,7.9,86.5,0,0.3,2,51.5,48.5
Agawam - James Clark School,50030,2.7,3.9,6.6,84.9,0,0,1.8,50.9,49.1
Agawam - Roberta G. Doering School,50303,1.2,1.9,6.6,86.8,0,0,3.6,45.8,54.2
Agawam - Robinson Park,50025,2.3,3.5,7.5,83.2,0,0,3.5,52,48
Alma del Mar Charter School - Alma del Mar Charter School,4090205,15.4,0.8,45.4,29.6,2.5,0.4,5.8,46.3,53.8
Amesbury - Amesbury Elementary,70005,8.8,0.2,4.4,82.9,0.2,0,3.5,50.6,49.4
Amesbury - Amesbury High,70505,0.5,0.8,4.3,92.3,0,0,2.1,53.6,46.4
Amesbury - Amesbury Middle,70013,2.1,0.8,4,89.6,0,0,3.5,53.9,46.1
Amesbury - Charles C Cashman Elementary,70010,3,2,7,84.5,0.2,0.4,3,51.8,48.2
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,0,2.2,4.3,89.1,0,0,4.3,54.3,45.7
Amherst - Crocker Farm Elementary,80009,9,15.6,22,45.5,0,0.2,7.6,51.7,48.3
Amherst - Fort River Elementary,80020,7.7,13.1,22.7,49.5,0.8,0.3,6,48.1,51.9
Amherst - Wildwood Elementary,80050,9,12.9,17.2,51.2,0,0,9.7,51.5,48.5
Amherst-Pelham - Amherst Regional High,6050505,8.3,9.1,12.8,61.4,0,0,8.5,53.6,46.4
Amherst-Pelham - Amherst Regional Middle School,6050405,5.4,10,15,60.7,0.4,0.2,8.2,51,49
Andover - Andover High,90505,1.6,13.5,4.9,77.4,0.2,0,2.4,48.9,51.1
Andover - Andover West Middle,90310,1.4,14.1,3,78.7,0.4,0,2.5,48.1,51.9
Andover - Bancroft Elementary,90003,2.6,8,5.4,78.6,0.9,0,4.5,51.5,48.5
