School Name,School Code,Retention_Num,Retention_Rate,Attendance_Rate,Average_Num_Absences,Absent_10_or_more_days,Chronically_Absent_10_percent_or more,Unexcused_9_days
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,2,0.2,97.4,4.7,13,2,13
Abington - Abington High,10505,6,1.3,94.1,10,39.7,13.3,12.3
Abington - Beaver Brook Elementary School,10003,4,0.6,95.9,7,25.8,6.5,4.7
Abington - Center Elementary School,10002,0,0,95.5,7.5,26.9,7.5,6.6
Abington - Frolio Middle School,10405,1,0.3,95.7,7.5,25.7,7.9,9
Abington - Woodsdale Elementary School,10015,3,0.9,95.3,8.1,34.3,9.2,10.7
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,18,3.4,95.4,8.6,31.3,9.1,22.4
Acton-Boxborough - Acton-Boxborough Regional High,6000505,13,0.7,96.4,6.5,22.2,5.9,0
Acton-Boxborough - Blanchard Memorial School,6000005,0,0,96.6,6,19.8,5.1,0
Acton-Boxborough - C.T. Douglas Elementary School,6000020,0,0,96.9,5.5,15.7,2,0
Acton-Boxborough - Luther Conant School,6000030,0,0,96.1,6.9,24.9,8.3,0
Acton-Boxborough - McCarthy-Towne School,6000015,2,0.5,96.5,6.3,19.4,3.9,0
Acton-Boxborough - Merriam School,6000010,0,0,96.6,6,20.6,4.5,0
Acton-Boxborough - Paul P Gates Elementary School,6000025,0,0,96.9,5.4,16.5,4.3,0
Acton-Boxborough - Raymond J Grey Junior High,6000405,0,0,97.2,4.9,14.6,3.8,0.3
Acushnet - Acushnet Elementary School,30025,3,0.7,96.4,6.4,18.8,3.8,10.9
Acushnet - Albert F Ford Middle School,30305,2,0.5,96.3,6.6,20.1,5.3,14.1
Adams-Cheshire - Cheshire Elementary,6030004,1,0.6,95.7,7.5,28.1,6.7,0
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,12,1.8,94,10.3,34.1,15.2,25.9
Adams-Cheshire - Plunkett Elementary,6030020,1,0.3,95.2,8,30.1,12.3,0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,1,0.1,96.4,6.4,17.2,3.9,10.5
