2014-15 Teacher Salaries Report,,,,
,,,,
DISTRICT,ORGCODE,Salary Totals,Average Salary,FTE Count
Abington,00010000,$9,489,496 ,$74,662 ,127
Acushnet,00030000,$4,543,438 ,$64,906 ,70
Agawam,00050000,$20,849,537 ,$64,769 ,322
Amesbury,00070000,$12,158,388 ,$77,147 ,158
Amherst,00080000,$8,191,622 ,$71,730 ,114
Andover,00090000,$37,560,123 ,$81,211 ,463
Arlington,00100000,$23,917,577 ,$66,493 ,360
Ashland,00140000,$14,049,291 ,$76,355 ,184
Attleboro,00160000,$30,332,791 ,$76,386 ,397
Auburn,00170000,$12,040,430 ,$69,481 ,173
Avon,00180000,$4,367,245 ,$67,547 ,65
Barnstable,00200000,$29,148,135 ,$78,757 ,370
Bedford,00230000,$17,509,953 ,$79,410 ,221
Belchertown,00240000,$10,785,380 ,$63,183 ,171
Bellingham,00250000,$11,671,237 ,$71,691 ,163
Belmont,00260000,$21,190,927 ,$85,241 ,249
Berkley,00270000,$4,423,115 ,$72,749 ,61
Berlin,00280000,$1,370,545 ,$78,541 ,17
Beverly,00300000,$21,856,518 ,$71,078 ,308
Billerica,00310000,$28,755,591 ,$74,345 ,387
Boston,00350000,$383,866,184 ,$88,790 ,4,323
Bourne,00360000,$11,200,019 ,$74,419 ,151
Boxford,00380000,$4,747,304 ,$75,957 ,63
Boylston,00390000,$1,574,935 ,$74,289 ,21
Braintree,00400000,$30,370,434 ,$73,535 ,413
Brewster,00410000,$3,426,525 ,$82,766 ,41
Brimfield,00430000,$1,766,854 ,$63,328 ,28
Brockton,00440000,$91,426,338 ,$79,723 ,1,147
Brookfield,00450000,$1,572,046 ,$62,631 ,25
Brookline,00460000,$53,174,888 ,$91,507 ,581
Burlington,00480000,$27,776,064 ,$90,475 ,307
Cambridge,00490000,$50,658,612 ,$78,456 ,646
Canton,00500000,$18,615,345 ,$77,664 ,240
Carlisle,00510000,$5,297,703 ,$91,182 ,58
Carver,00520000,$8,237,964 ,$66,921 ,123
Chelmsford,00560000,$26,559,688 ,$73,471 ,362
Chelsea,00570000,$27,035,942 ,$64,772 ,417
Chicopee,00610000,$40,973,099 ,$65,358 ,627
Clarksburg,00630000,$930,689 ,$61,635 ,15
Clinton,00640000,$9,314,342 ,$66,247 ,141
Cohasset,00650000,$9,615,360 ,$82,963 ,116
Concord,00670000,$15,226,596 ,$94,282 ,162
Conway,00680000,$836,903 ,$57,322 ,15
Danvers,00710000,$21,023,540 ,$78,183 ,269
Dartmouth,00720000,$20,097,135 ,$73,412 ,274
Dedham,00730000,$17,787,199 ,$76,417 ,233
Deerfield,00740000,$2,295,663 ,$66,349 ,35
Douglas,00770000,$6,718,753 ,$66,853 ,101
Dover,00780000,$3,686,786 ,$95,020 ,39
Dracut,00790000,$15,116,179 ,$70,080 ,216
Duxbury,00820000,$17,404,817 ,$74,411 ,234
East Bridgewater,00830000,$9,839,185 ,$72,188 ,136
Eastham,00850000,$1,931,963 ,$84,365 ,23
Easthampton,00860000,$7,782,569 ,$70,494 ,110
East Longmeadow,00870000,$14,616,105 ,$73,819 ,198
Easton,00880000,$19,580,625 ,$73,226 ,267
Edgartown,00890000,$3,417,687 ,$87,633 ,39
Erving,00910000,$1,185,748 ,$69,342 ,17
Everett,00930000,$39,051,390 ,$76,272 ,512
Fairhaven,00940000,$9,473,021 ,$65,648 ,144
Fall River,00950000,$48,085,708 ,$66,693 ,721
Falmouth,00960000,$21,626,176 ,$74,830 ,289
Fitchburg,00970000,$24,850,071 ,$70,158 ,354
Florida,00980000,$511,283 ,$40,903 ,13
Foxborough,00990000,$16,945,176 ,$80,964 ,209
Framingham,01000000,$53,707,778 ,$76,040 ,706
Franklin,01010000,$30,206,614 ,$73,230 ,412
Gardner,01030000,$10,876,580 ,$61,036 ,178
Georgetown,01050000,$7,349,590 ,$66,512 ,111
Gloucester,01070000,$19,120,842 ,$72,400 ,264
Gosnold,01090000,$55,340 ,$34,588 ,2
Grafton,01100000,$15,335,841 ,$67,559 ,227
Granby,01110000,$3,874,390 ,$57,229 ,68
Greenfield,01140000,$9,084,246 ,$60,968 ,149
Hadley,01170000,$3,017,996 ,$60,970 ,50
Halifax,01180000,$3,048,589 ,$78,775 ,39
Hancock,01210000,$328,027 ,$48,959 ,7
Hanover,01220000,$15,521,473 ,$76,609 ,203
Harvard,01250000,$7,465,241 ,$83,504 ,89
Hatfield,01270000,$2,414,035 ,$58,030 ,42
Haverhill,01280000,$33,189,622 ,$67,376 ,493
Hingham,01310000,$22,053,268 ,$77,082 ,286
Holbrook,01330000,$5,279,680 ,$62,041 ,85
Holland,01350000,$1,179,198 ,$61,098 ,19
Holliston,01360000,$16,285,433 ,$78,598 ,207
Holyoke,01370000,$29,775,072 ,$67,517 ,441
Hopedale,01380000,$5,635,272 ,$65,526 ,86
Hopkinton,01390000,$20,872,912 ,$82,436 ,253
Hudson,01410000,$17,895,923 ,$73,889 ,242
Hull,01420000,$6,961,852 ,$80,206 ,87
Ipswich,01440000,$9,882,874 ,$68,727 ,144
Kingston,01450000,$4,479,519 ,$66,560 ,67
Lanesborough,01480000,$1,264,229 ,$58,259 ,22
Lawrence,01490000,$72,916,951 ,$70,872 ,1,029
Lee,01500000,$4,546,268 ,$64,212 ,71
Leicester,01510000,$7,683,225 ,$72,758 ,106
Lenox,01520000,$5,654,627 ,$72,217 ,78
Leominster,01530000,$30,250,779 ,$68,580 ,441
Leverett,01540000,$916,893 ,$62,374 ,15
Lexington,01550000,$44,431,043 ,$80,975 ,549
Lincoln,01570000,$10,495,124 ,$86,451 ,121
Littleton,01580000,$7,971,785 ,$72,469 ,110
Longmeadow,01590000,$16,709,914 ,$69,770 ,240
Lowell,01600000,$78,519,951 ,$76,951 ,1,020
Ludlow,01610000,$13,832,042 ,$59,724 ,232
Lunenburg,01620000,$7,578,542 ,$74,592 ,102
Lynn,01630000,$77,013,061 ,$73,395 ,1,049
Lynnfield,01640000,$13,262,640 ,$79,560 ,167
Malden,01650000,$37,808,499 ,$83,740 ,452
Mansfield,01670000,$23,626,783 ,$77,465 ,305
Marblehead,01680000,$17,242,167 ,$67,142 ,257
Marion,01690000,$2,738,775 ,$82,742 ,33
Marlborough,01700000,$27,895,522 ,$75,495 ,370
Marshfield,01710000,$23,284,966 ,$70,582 ,330
Mashpee,01720000,$10,022,651 ,$73,750 ,136
Mattapoisett,01730000,$2,964,841 ,$73,206 ,41
Maynard,01740000,$7,351,939 ,$68,774 ,107
Medfield,01750000,$15,634,934 ,$78,845 ,198
Medford,01760000,$28,616,170 ,$72,648 ,394
Medway,01770000,$12,697,237 ,$85,216 ,149
Melrose,01780000,$15,819,655 ,$60,939 ,260
Methuen,01810000,$36,734,044 ,$77,384 ,475
Middleborough,01820000,$15,247,174 ,$67,080 ,227
Middleton,01840000,$4,415,993 ,$69,763 ,63
Milford,01850000,$22,969,673 ,$71,246 ,322
Millbury,01860000,$10,002,675 ,$75,778 ,132
Millis,01870000,$7,367,820 ,$76,193 ,97
Milton,01890000,$22,897,470 ,$80,117 ,286
Monson,01910000,$5,079,387 ,$60,397 ,84
Nahant,01960000,$804,297 ,$76,600 ,11
Nantucket,01970000,$11,098,510 ,$84,528 ,131
Natick,01980000,$25,883,083 ,$68,893 ,376
Needham,01990000,$33,367,115 ,$87,555 ,381
New Bedford,02010000,$62,241,552 ,$73,320 ,849
Newburyport,02040000,$14,168,338 ,$78,278 ,181
Newton,02070000,$80,242,396 ,$75,665 ,1,061
Norfolk,02080000,$5,474,468 ,$81,344 ,67
North Adams,02090000,$7,989,448 ,$62,613 ,128
Northampton,02100000,$13,058,136 ,$58,980 ,221
North Andover,02110000,$22,697,411 ,$77,466 ,293
North Attleborough,02120000,$20,924,567 ,$72,079 ,290
Northborough,02130000,$10,974,842 ,$78,504 ,140
Northbridge,02140000,$11,295,828 ,$68,961 ,164
North Brookfield,02150000,$3,182,071 ,$71,668 ,44
North Reading,02170000,$14,444,287 ,$73,771 ,196
Norton,02180000,$12,375,604 ,$65,933 ,188
Norwell,02190000,$12,461,880 ,$76,313 ,163
Norwood,02200000,$19,841,064 ,$73,187 ,271
Oak Bluffs,02210000,$3,802,890 ,$86,824 ,44
Orange,02230000,$2,790,291 ,$61,325 ,46
Orleans,02240000,$1,830,831 ,$73,527 ,25
Oxford,02260000,$8,895,375 ,$65,892 ,135
Palmer,02270000,$7,663,615 ,$67,521 ,114
Peabody,02290000,$32,973,953 ,$75,438 ,437
Pelham,02300000,$801,755 ,$70,952 ,11
Pembroke,02310000,$14,712,685 ,$75,527 ,195
Petersham,02340000,$656,581 ,$66,998 ,10
Pittsfield,02360000,$31,392,932 ,$64,515 ,487
Plainville,02380000,$3,558,247 ,$69,227 ,51
Plymouth,02390000,$41,136,945 ,$66,619 ,618
Plympton,02400000,$1,304,162 ,$71,657 ,18
Provincetown,02420000,$1,513,916 ,$79,680 ,19
Quincy,02430000,$52,801,618 ,$76,182 ,693
Randolph,02440000,$17,118,687 ,$66,818 ,256
Reading,02460000,$22,076,459 ,$70,262 ,314
Revere,02480000,$40,425,886 ,$78,788 ,513
