School Name,Org Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     137,     135,  98.5,   8.9,  87.4,   3.0,   0.7
Abington - Abington High,00010505,      51,      50,  98.0,  30.0,  64.0,   6.0,   0.0
Abington - Beaver Brook Elementary School,00010003,      42,      41,  97.6,   7.3,  87.8,   2.4,   2.4
Abington - Center Elementary School,00010002,      12,      12, 100.0,  16.7,  83.3,   0.0,   0.0
Abington - Frolio Middle School,00010405,      29,      28,  96.6,   7.1,  89.3,   3.6,   0.0
Abington - Woodsdale Elementary School,00010015,      19,      19, 100.0,  15.8,  73.7,  10.5,   0.0
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,04120530,      53,      52,  98.1,  28.8,  53.8,  17.3,   0.0
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     160,     155,  96.9,  11.0,  86.5,   2.6,   0.0
Acton-Boxborough - Blanchard Memorial School,06000005,      39,      39, 100.0,-,-,-,-
Acton-Boxborough - C.T. Douglas Elementary School,06000020,      38,      35,  92.1,  11.4,  88.6,   0.0,   0.0
Acton-Boxborough - Luther Conant School,06000030,      36,      35,  97.2,   5.7,  94.3,   0.0,   0.0
Acton-Boxborough - McCarthy-Towne School,06000015,      37,      34,  91.9,   8.8,  88.2,   2.9,   0.0
Acton-Boxborough - Merriam School,06000010,      46,      44,  95.7,   6.8,  93.2,   0.0,   0.0
Acton-Boxborough - Paul P Gates Elementary School,06000025,      36,      34,  94.4,-,-,-,-
Acton-Boxborough - Raymond J Grey Junior High,06000405,      78,      73,  93.6,   8.2,  91.8,   0.0,   0.0
Acushnet - Acushnet Elementary School,00030025,      46,      45,  97.8,-,-,-,-
Acushnet - Albert F Ford Middle School,00030305,      37,      36,  97.3,   2.8,  58.3,  36.1,   2.8
Adams-Cheshire - Cheshire Elementary,06030004,      20,      19,  95.0,-,-,-,-
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,      65,      64,  98.5,-,-,-,-
Adams-Cheshire - Plunkett Elementary,06030020,      34,      34, 100.0,-,-,-,-
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,NA,NA,NA,NA,NA,NA,NA
Agawam - Agawam Early Childhood Center,00050003,      12,      11,  91.7,-,-,-,-
Agawam - Agawam High,00050505,     115,     113,  98.3,   2.7,  97.3,   0.0,   0.0
Agawam - Agawam Junior High,00050405,      74,      73,  98.6,  39.7,  60.3,   0.0,   0.0
Agawam - Benjamin J Phelps,00050020,      38,      37,  97.4,   2.7,  97.3,   0.0,   0.0
Agawam - Clifford M Granger,00050010,      29,      28,  96.6,  10.7,  89.3,   0.0,   0.0
Agawam - James Clark School,00050030,      37,      36,  97.3,   5.6,  94.4,   0.0,   0.0
Agawam - Roberta G. Doering School,00050303,      58,      57,  98.3,-,-,-,-
Agawam - Robinson Park,00050025,      40,      39,  97.5,  20.5,  79.5,   0.0,   0.0
Alma del Mar Charter School - Alma del Mar Charter School,04090205,NA,NA,NA,NA,NA,NA,NA
Amesbury - Amesbury Elementary,00070005,      36,      34,  94.4,   2.9,  94.1,   0.0,   2.9
Amesbury - Amesbury High,00070505,      55,      53,  96.4,   1.9,  94.3,   3.8,   0.0
Amesbury - Amesbury Middle,00070013,      62,      61,  98.4,   1.6,  96.7,   1.6,   0.0
Amesbury - Charles C Cashman Elementary,00070010,      40,      38,  95.0,  13.2,  86.8,   0.0,   0.0
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,      10,       8,  80.0,  12.5,  87.5,   0.0,   0.0
Amherst - Crocker Farm Elementary,00080009,      50,      48,  96.0,  10.4,  89.6,   0.0,   0.0
Amherst - Fort River Elementary,00080020,      50,      48,  96.0,  16.7,  83.3,   0.0,   0.0
Amherst - Wildwood Elementary,00080050,      53,      50,  94.3,  10.0,  90.0,   0.0,   0.0
Amherst-Pelham - Amherst Regional High,06050505,     106,     105,  99.1,  19.0,  77.1,   3.8,   0.0
Amherst-Pelham - Amherst Regional Middle School,06050405,      65,      64,  98.5,   7.8,  84.4,   6.3,   1.6
Andover - Andover High,00090505,     153,      68,  44.4,  10.3,  85.3,   4.4,   0.0
Andover - Andover West Middle,00090310,      54,      27,  50.0,  11.1,  85.2,   3.7,   0.0
Andover - Bancroft Elementary,00090003,      45,      34,  75.6,-,-,-,-
Andover - Doherty Middle,00090305,      60,      44,  73.3,  20.5,  72.7,   6.8,   0.0
Andover - Henry C Sanborn Elementary,00090010,      38,      25,  65.8,  16.0,  84.0,   0.0,   0.0
Andover - High Plain Elementary,00090004,      56,       9,  16.1,  22.2,  77.8,   0.0,   0.0
Andover - Shawsheen School,00090005,      28,      19,  67.9,  47.4,  52.6,   0.0,   0.0
Andover - South Elementary,00090020,      44,      37,  84.1,   2.7,  97.3,   0.0,   0.0
Andover - West Elementary,00090025,      66,      36,  54.5,   5.6,  94.4,   0.0,   0.0
Andover - Wood Hill Middle School,00090350,      52,      27,  51.9,   7.4,  92.6,   0.0,   0.0
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,NA,NA,NA,NA,NA,NA,NA
Arlington - Arlington High,00100505,     124,     124, 100.0,-,-,-,-
Arlington - Brackett,00100010,      39,      39, 100.0,-,-,-,-
Arlington - Cyrus E Dallin,00100025,      41,      41, 100.0,-,-,-,-
Arlington - Hardy,00100030,      35,      35, 100.0,-,-,-,-
Arlington - John A Bishop,00100005,      35,      35, 100.0,-,-,-,-
Arlington - M Norcross Stratton,00100055,      37,      37, 100.0,-,-,-,-
Arlington - Menotomy Preschool,00100038,       9,       9, 100.0,-,-,-,-
Arlington - Ottoson Middle,00100410,     108,     108, 100.0,   0.0,  98.1,   1.9,   0.0
Arlington - Peirce,00100045,      30,      30, 100.0,-,-,-,-
Arlington - Thompson,00100050,      34,      34, 100.0,-,-,-,-
Ashburnham-Westminster - Briggs Elementary,06100025,      43,      41,  95.3,  14.6,  82.9,   2.4,   0.0
Ashburnham-Westminster - Meetinghouse School,06100010,      17,      17, 100.0,  23.5,  70.6,   5.9,   0.0
Ashburnham-Westminster - Oakmont Regional High School,06100505,      63,      63, 100.0,  12.7,  87.3,   0.0,   0.0
Ashburnham-Westminster - Overlook Middle School,06100305,      48,      48, 100.0,  10.4,  89.6,   0.0,   0.0
Ashburnham-Westminster - Westminster Elementary,06100005,      30,      29,  96.7,  24.1,  72.4,   3.4,   0.0
Ashland - Ashland High,00140505,      69,      67,  97.1,  17.9,  79.1,   3.0,   0.0
Ashland - Ashland Middle,00140405,      56,      54,  96.4,   5.6,  90.7,   3.7,   0.0
Ashland - David Mindess,00140015,      48,      48, 100.0,  35.4,  64.6,   0.0,   0.0
Ashland - Henry E Warren Elementary,00140010,      49,      49, 100.0,  28.6,  71.4,   0.0,   0.0
Ashland - William Pittaway Elementary,00140005,      10,      10, 100.0,-,-,-,-
